course_id,days,start_time,end_time,classroom
230,수,16:00,17:30,408-329(정보문화관Q Q302 강의실)
230,금,16:00,17:30,408-329(정보문화관Q Q302 강의실)
231,화,16:00,17:30,501-231(학림관 J201 강의실)
231,목,16:30,18:00,501-231(학림관 J201 강의실)
232,월,12:00,13:30,102-311(학술/문화관 K311 311 강의실)
232,수,12:00,13:30,102-311(학술/문화관 K311 311 강의실)
233,월,12:00,13:30,501-142(학림관 J104 강의실)
233,수,11:00,12:30,501-142(학림관 J104 강의실)
234,월,12:00,13:30,501-409(학림관 J413 강의실)
234,수,11:00,12:30,501-409(학림관 J413 강의실)
235,화,12:00,13:30,201-214(사회과학/경영관 M211 강의실)
235,목,12:00,13:30,201-214(사회과학/경영관 M211 강의실)
236,월,13:00,14:30,501-413(학림관 J414 강의실)
236,수,11:00,12:30,501-413(학림관 J414 강의실)
237,화,09:00,12:00,405-450(원흥관 E450 강의실)
238,화,16:00,18:50,501-413(학림관 J414 강의실)
239,수,14:30,17:30,407-B122(정보문화관P P205 강의실)
240,목,14:30,17:30,501-250(학림관 J211 강의실_스마트)
241,월,18:00,20:30,405-127(원흥관 E127 강의실)
242,금,18:00,20:30,405-127(원흥관 E127 강의실)
243,목,09:00,12:00,405-450(원흥관 E450 강의실)
244,월,18:00,20:30,102-147(학술/문화관 K147 덕암세미나실_스마트)
248,월,12:00,13:30,102-356(학술/문화관 K356 356 강의실)
248,수,11:00,12:30,102-356(학술/문화관 K356 356 강의실)
249,화,14:00,17:00,1104-208(상영바이오관 208 장전 강의실_스마트)
250,화,10:30,12:00,501-413(학림관 J414 강의실)
250,금,09:00,10:30,501-413(학림관 J414 강의실)
